q0,deltaQ0,wMu,firstmoment,secondmoment,thirdmoment,skewness
0.276,0.001,0.21714285714285714,0.282215,0.0797,0.022542,2.560536
0.276,0.001,0.22306122448979593,0.282547,0.0799,0.022628,2.557241
0.276,0.001,0.2289795918367347,0.282887,0.0801,0.022717,2.55342
0.276,0.001,0.23489795918367348,0.283234,0.0803,0.022809,2.549131
0.276,0.001,0.24081632653061225,0.283589,0.0805,0.022903,2.544411
0.276,0.001,0.24673469387755104,0.283951,0.0807,0.023,2.53928
0.276,0.001,0.25265306122448977,0.284321,0.081,0.023099,2.533738
0.276,0.001,0.25857142857142856,0.284699,0.0812,0.023202,2.527771
0.276,0.001,0.26448979591836735,0.285083,0.0814,0.023307,2.521343
0.276,0.001,0.27040816326530615,0.285476,0.0817,0.023414,2.514408
0.276,0.001,0.2763265306122449,0.285875,0.0819,0.023525,2.506903
0.276,0.001,0.28224489795918367,0.286282,0.0822,0.023638,2.49876
0.276,0.001,0.28816326530612246,0.286695,0.0824,0.023755,2.489902
0.276,0.001,0.2940816326530612,0.287116,0.0827,0.023874,2.480251
0.276,0.001,0.3,0.287544,0.0829,0.023995,2.469733
0.277,0.001,0.01,0.276987,0.0767,0.021252,0.170841
0.277,0.001,0.015918367346938776,0.277012,0.0767,0.021258,0.138438
0.277,0.001,0.02183673469387755,0.27705,0.0768,0.021266,0.091864
0.277,0.001,0.027755102040816326,0.277098,0.0768,0.021278,0.037791
0.277,0.001,0.0336734693877551,0.277156,0.0768,0.021291,-0.010115
0.277,0.001,0.03959183673469388,0.277222,0.0769,0.021306,-0.031613
0.277,0.001,0.04551020408163265,0.277296,0.0769,0.021323,-0.006021
0.277,0.001,0.05142857142857143,0.277377,0.0769,0.021342,0.080897
0.277,0.001,0.057346938775510205,0.277468,0.077,0.021363,0.232524
0.277,0.001,0.06326530612244897,0.277567,0.077,0.021386,0.439997
0.277,0.001,0.06918367346938775,0.277675,0.0771,0.021411,0.684767
0.277,0.001,0.07510204081632653,0.277793,0.0772,0.021439,0.944428
0.277,0.001,0.08102040816326529,0.27792,0.0772,0.021469,1.198778
0.277,0.001,0.08693877551020407,0.278056,0.0773,0.021501,1.433448
0.277,0.001,0.09285714285714285,0.278201,0.0774,0.021535,1.640592
0.277,0.001,0.09877551020408162,0.278355,0.0775,0.021571,1.817707
0.277,0.001,0.1046938775510204,0.278519,0.0776,0.02161,1.96583
0.277,0.001,0.11061224489795918,0.278691,0.0777,0.021651,2.087907
0.277,0.001,0.11653061224489795,0.278873,0.0778,0.021695,2.187611
0.277,0.001,0.12244897959183673,0.279063,0.0779,0.02174,2.268623
0.277,0.001,0.12836734693877552,0.279263,0.078,0.021788,2.334265
0.277,0.001,0.13428571428571429,0.279471,0.0781,0.021839,2.387362
0.277,0.001,0.14020408163265308,0.279688,0.0782,0.021891,2.430236
0.277,0.001,0.14612244897959184,0.279913,0.0784,0.021946,2.464757
0.277,0.001,0.1520408163265306,0.280147,0.0785,0.022004,2.492421
0.277,0.001,0.1579591836734694,0.28039,0.0786,0.022063,2.514423
0.277,0.001,0.16387755102040816,0.280641,0.0788,0.022126,2.531722
0.277,0.001,0.16979591836734695,0.280901,0.0789,0.02219,2.545096
0.277,0.001,0.1757142857142857,0.281168,0.0791,0.022257,2.555179
0.277,0.001,0.1816326530612245,0.281445,0.0792,0.022327,2.562493
0.277,0.001,0.18755102040816327,0.281729,0.0794,0.022399,2.567473
0.277,0.001,0.19346938775510206,0.282022,0.0796,0.022473,2.570481
0.277,0.001,0.19938775510204082,0.282323,0.0798,0.02255,2.571822
0.277,0.001,0.20530612244897958,0.282632,0.0799,0.02263,2.571752
0.277,0.001,0.21122448979591837,0.282949,0.0801,0.022712,2.570489
0.277,0.001,0.21714285714285714,0.283274,0.0803,0.022797,2.568213
0.277,0.001,0.22306122448979593,0.283607,0.0805,0.022884,2.565075
0.277,0.001,0.2289795918367347,0.283947,0.0807,0.022974,2.561201
0.277,0.001,0.23489795918367348,0.284296,0.0809,0.023066,2.556688
